Type,FSWP-8
Version,3.01
Date,18.May 2026
VSupply,OFF
Mode,Voltage
2,7,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,8,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,8,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,8,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,8,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,8,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,8,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,9,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,9,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,9,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,9,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,9,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,9,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,10,1,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,10,2,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581117630004882813,dBc,3.7982347011566162109,degree,1504.5660400390625,Hz,3.045781959976068265e-10,s
2,10,3,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,10,4,1.0000000000,Hz,10000000.0000000000,Hz,,-76.86069488525390625,dBc,0,degree,0.020299259573221206665,Hz,0,s
2,10,5,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
2,10,6,1.0000000000,Hz,10000000.0000000000,Hz,,-26.581075668334960938,dBc,0,degree,0,Hz,0,s
Window,2,Noise Spectrum
Trace,1
Trace Mode,CLR/WRITE
Trace Result,PN
Smoothing,ON
Smoothing Value,1.0000000000,%
Spurious Removal,OFF
Spurious Removal Threshold,6.0000000000,dB
Trace Offset,OFF
Trace Offset,0.0000000000,dB
Trace Label,OFF
Trace Label,Trace 1
x-Unit,Hz
y-Unit,dBc/Hz
Values,7001
1.0000000000,-20.7183990479
1.0023052692,-20.7183990479
1.0046157837,-20.7183990479
1.0069316626,-20.7183990479
1.0092529058,-20.7183990479
1.0115795135,-20.8047885895
1.0139113665,-20.8547897339
